time	annotations
68.433	N
69.198	N
69.970	N
70.751	N
71.517	N
72.281	N
73.050	N
73.819	N
74.578	N
75.331	N
76.075	N
76.812	N
77.552	N
78.290	N
79.017	N
79.744	N
80.481	N
81.229	N
82.000	N
82.758	N
83.524	N
84.305	N
85.100	N
85.875	N
86.644	N
87.415	N
88.180	N
88.928	N
89.678	N
90.426	N
91.182	N
91.932	N
92.683	N
93.436	N
94.201	N
94.978	N
95.765	N
96.560	N
97.389	N
98.200	N
99.002	N
99.803	N
100.598	N
101.374	N
102.146	N
102.926	N
103.702	N
104.495	N
105.330	N
106.174	N
107.021	N
107.900	N
108.748	N
109.563	N
110.382	N
111.181	N
111.968	N
112.737	N
113.502	N
114.258	N
115.024	N
115.787	N
116.540	N
117.290	N
118.047	N
118.828	N
119.630	N
120.441	N
121.293	N
122.196	N
123.031	N
123.853	N
124.690	N
125.507	N
126.314	N
127.118	N
127.914	N
128.706	N
129.495	N
130.283	N
131.100	N
131.907	N
132.709	N
133.499	N
134.264	N
135.017	N
135.765	N
136.515	N
137.258	N
138.002	N
138.749	N
139.511	N
140.284	N
141.076	N
141.890	N
142.719	N
143.538	N
144.335	N
145.128	N
145.906	N
146.664	N
147.411	N
148.154	N
148.892	N
149.633	N
150.375	N
151.102	N
151.820	N
152.531	N
153.256	N
154.008	N
154.782	N
155.568	N
156.342	N
157.111	N
157.875	N
158.638	N
159.396	N
160.149	N
160.909	N
161.664	N
162.419	N
163.164	N
163.914	N
164.672	N
165.444	N
166.250	N
167.088	N
167.907	N
168.726	N
169.546	N
170.362	N
171.165	N
171.958	N
172.738	N
173.500	N
174.253	N
175.000	N
175.742	N
176.483	N
177.210	N
177.939	N
178.683	N
179.438	N
180.211	N
181.016	N
181.797	N
182.583	N
183.378	N
184.171	N
184.938	N
185.696	N
186.453	N
187.205	N
187.962	N
188.727	N
189.494	N
190.269	N
191.055	N
191.873	N
192.686	N
193.509	N
194.372	N
195.211	N
196.036	N
196.862	N
197.671	N
198.483	N
199.317	N
200.129	N
200.989	N
201.867	N
202.720	N
203.607	N
204.515	N
205.407	N
206.251	N
207.079	N
207.914	N
208.749	N
209.557	N
210.379	N
211.213	N
212.062	N
212.960	N
213.852	N
214.705	N
215.548	N
216.391	N
217.208	N
218.009	N
218.810	N
219.606	N
220.401	N
221.208	N
222.000	N
222.810	N
223.628	N
224.447	N
225.266	N
226.086	N
226.926	N
227.714	N
228.501	N
229.296	N
230.085	N
230.851	N
231.624	N
232.437	N
233.265	N
234.149	N
235.051	N
235.914	N
236.759	N
237.595	N
238.412	N
239.210	N
239.995	N
240.773	N
241.538	N
242.303	N
243.064	N
243.844	N
244.638	N
245.429	N
246.231	N
247.047	N
247.839	N
248.633	N
249.423	N
250.209	N
250.984	N
251.766	N
252.547	N
253.336	N
254.144	N
254.975	N
255.773	N
256.569	N
257.376	N
258.169	N
258.964	N
259.777	N
260.581	N
261.389	N
262.204	N
263.035	N
263.852	N
264.679	N
265.475	N
266.272	N
267.076	N
267.889	N
268.718	N
269.554	N
270.414	N
271.288	N
272.163	N
272.981	N
273.781	N
274.589	N
275.377	N
276.166	N
276.964	N
277.771	N
278.600	N
279.437	N
280.264	N
281.069	N
281.888	N
282.726	N
283.555	N
284.382	N
285.218	N
286.049	N
286.840	N
287.632	N
288.425	N
289.234	N
290.054	N
290.874	N
291.711	N
292.576	N
293.407	N
294.235	N
295.057	N
295.903	N
296.689	N
297.490	N
298.290	N
299.086	N
299.868	N
300.648	N
301.431	N
302.214	N
302.977	N
303.750	N
304.539	N
305.360	N
306.206	N
307.031	N
307.867	N
308.702	N
309.508	N
310.303	N
311.093	N
311.882	N
312.650	N
313.430	N
314.228	N
315.048	N
315.878	N
316.761	N
317.660	N
318.544	N
319.418	N
320.303	N
321.171	N
321.977	N
322.783	N
